id,title,rank,start_date,studio,mean,popularity,num_list_users,num_scoring_users,genres
52991,Sousou no Frieren,1,2023-09-29,Madhouse,9.39,297,676807,340337,
5114,Fullmetal Alchemist: Brotherhood,2,2009-04-05,Bones,9.09,3,3332470,2112888,
9253,Steins;Gate,3,2011-04-06,White Fox,9.07,13,2554353,1394934,
28977,Gintama°,4,2015-04-08,Bandai Namco Pictures,9.06,341,628328,250250,
38524,Shingeki no Kyojin Season 3 Part 2,5,2019-04-29,Wit Studio,9.05,21,2264445,1579150,
39486,Gintama: The Final,6,2021-01-08,Bandai Namco Pictures,9.04,1537,149178,71488,
11061,Hunter x Hunter (2011),7,2011-10-02,Madhouse,9.04,9,2817623,1753002,
9969,Gintama',8,2011-04-04,Sunrise,9.03,394,554116,236659,
41467,Bleach: Sennen Kessen-hen,9,2022-10-11,Pierrot,9.02,412,534383,275781,
820,Ginga Eiyuu Densetsu,10,1988-01-08,K-Factory,9.02,745,320766,78879,
15417,Gintama': Enchousen,11,2012-10-04,Sunrise,9.02,738,324253,164855,
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,12,2022-04-09,A-1 Pictures,9.01,180,920729,518451,
42938,Fruits Basket: The Final,13,2021-04-06,TMS Entertainment,8.98,474,474421,234819,
34096,Gintama.,14,2017-01-09,Bandai Namco Pictures,8.98,759,313503,145488,
918,Gintama,15,2006-04-04,Sunrise,8.94,139,1062285,395289,
4181,Clannad: After Story,16,2008-10-03,Kyoto Animation,8.93,118,1190178,658411,
28851,Koe no Katachi,17,2016-09-17,Kyoto Animation,8.93,20,2318937,1606853,
54492,Kusuriya no Hitorigoto,18,2023-10-22,OLM,8.93,644,364244,159927,
35180,3-gatsu no Lion 2nd Season,19,2017-10-14,Shaft,8.92,567,400838,198959,
2904,Code Geass: Hangyaku no Lelouch R2,20,2008-04-06,Sunrise,8.91,46,1775475,1190985,
51535,Shingeki no Kyojin: The Final Season - Kanketsu-hen,21,2023-03-04,MAPPA,8.91,334,633523,363207,
55690,Boku no Kokoro no Yabai Yatsu Season 2,22,2024-01-07,Shin-Ei Animation,8.9,1464,158669,71592,
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,23,2013-07-06,Sunrise,8.9,1001,240010,134911,
37491,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,24,2018-07-09,Bandai Namco Pictures,8.88,1210,197861,95296,
19,Monster,25,2004-04-07,Madhouse,8.88,133,1111469,414356,
